video_id,publish_date,views,likes,dislikes,comments_disabled
id5349,2010-09-25,18015,56,4,False
id431,2018-01-16,3155,56,2,False
id5835,2017-11-08,169511,57,59,False
id4697,2017-11-20,8448,57,18,False
id240,2017-12-14,12048,57,3,False
id240,2017-12-14,12405,57,4,False
id240,2017-12-14,12591,57,4,False
id1308,2017-12-19,15397,57,7,False
id5526,2017-12-26,8636,57,22,False
id4573,2018-01-03,11560,57,8,True
id431,2018-01-16,3318,57,2,False
id5469,2018-02-19,24905,57,3,False
id1527,2017-11-14,10899,58,4,False
id1527,2017-11-14,11032,58,4,False
id1527,2017-11-14,11156,58,4,False
id1340,2017-12-05,8200,58,9,True
id4086,2017-12-22,24200,58,5,False
id5526,2017-12-26,10351,58,23,False
id3297,2017-11-27,3597,59,8,False
id1340,2017-12-05,11210,59,9,True
id4666,2017-12-10,2700,59,2,False
id431,2018-01-16,3442,59,2,False
id58,2018-02-15,3741,59,13,False
id4697,2017-11-20,8616,60,18,False
id4697,2017-11-20,8719,60,18,False
id4697,2017-11-20,8798,60,18,False
id3796,2017-12-22,18982,60,7,False
id5469,2018-02-19,25513,60,3,False
id1873,2017-11-14,4009,61,6,False
id5105,2017-12-21,26495,61,34,False
id1308,2017-12-19,17757,61,8,False
id4384,2017-11-14,11404,62,26,False
id5970,2017-12-12,14723,62,9,False
id4093,2017-12-12,10909,62,11,False
id4093,2017-12-12,11199,62,11,False
id2893,2017-12-05,13952,62,31,False
id5526,2017-12-26,11613,62,23,False
id4573,2018-01-03,13193,62,8,True
id4093,2017-12-12,11439,63,11,False
id1308,2017-12-19,20322,63,12,False
id2893,2017-12-05,14107,63,31,False
id2893,2017-12-05,14235,63,31,False
id2893,2017-12-05,14344,63,31,False
id4573,2018-01-03,13368,63,9,True
id4573,2018-01-03,13468,63,9,True
id1062,2018-02-01,6930,63,5,False
id808,2018-02-27,7003,63,76,False
id2979,2017-12-12,4562,64,9,False
id1308,2017-12-19,21701,64,14,False
id2893,2017-12-05,14459,64,31,False
id4573,2018-01-03,13532,64,9,True
id1025,2010-04-21,25796,64,4,False
id4399,2018-01-26,52497,64,15,False
id5036,2018-02-24,4887,64,3,False
id3608,2017-12-07,6181,65,7,False
id3796,2017-12-22,21028,65,7,False
id2738,2018-01-04,12621,65,10,False
id3103,2018-01-16,17957,65,84,False
id3702,2018-01-30,15570,65,9,False
id1062,2018-02-01,8021,65,5,False
id808,2018-02-27,7256,65,77,False
id1121,2017-12-18,8440,66,43,False
id339,2017-12-17,3345,66,1,False
id5105,2017-12-21,32150,66,39,False
id3796,2017-12-22,21972,66,7,False
id5526,2017-12-26,12106,66,23,False
id698,2018-01-09,15753,66,3,False
id1932,2017-08-29,331939,66,11,False
id2249,2017-11-12,7524,67,19,False
id3646,2017-11-30,10179,67,27,True
id5295,2017-11-30,3778,67,10,False
id5295,2017-11-30,3842,67,11,False
id5295,2017-11-30,3912,67,11,False
id5970,2017-12-12,19096,67,9,False
id5364,2017-12-18,1386,67,20,False
id339,2017-12-17,3419,67,1,False
id339,2017-12-17,3483,67,1,False
id5526,2017-12-26,12544,67,24,False
id1932,2017-08-29,332114,67,11,False
id1089,2018-01-17,3307,67,1,False
id5532,2017-11-14,61066,68,3,False
id2979,2017-12-12,5349,68,9,False
id200,2017-12-19,6271,68,2,False
id353,2018-01-20,13044,68,22,False
id71,2018-01-18,40328,68,3,False
id1340,2017-12-05,14073,69,9,True
id359,2017-12-04,11451,69,1,False
id3796,2017-12-22,22561,69,8,False
id698,2018-01-09,16888,69,3,False
id698,2018-01-09,17106,69,4,False
id1089,2018-01-17,3649,69,1,False
id1047,2017-12-08,10020,70,7,False
id1567,2017-12-22,13670,70,1,False
id3103,2018-01-16,58452,70,88,False
id1089,2018-01-17,3791,70,1,False
id5036,2018-02-24,7613,70,4,False
id808,2018-02-27,7332,70,85,False
id5291,2017-12-07,16445,71,63,False
id1340,2017-12-05,15338,71,10,True
id200,2017-12-19,6776,71,2,False
id3796,2017-12-22,22929,71,8,False
id250,2018-02-05,8750,71,40,False
id557,2018-02-27,8411,71,69,False
id808,2018-02-27,7538,71,88,False
id3646,2017-11-30,12415,72,32,True
id3646,2017-11-30,13262,72,35,True
id3646,2017-11-30,13755,72,36,True
id3646,2017-11-30,13997,72,36,True
id3646,2017-11-30,14189,72,36,True
id3646,2017-11-30,14276,72,36,True
id814,2017-12-17,3085,72,1,False
id3443,2013-10-28,21063,72,2,False
